Monomer	Read_Name	Start_Position	End_Position	Identity	Match_Percentage	Is_Reverse
J_rc	chrX-v0_2284670_aligned_507_R_83_19445_1	0	185	85	72.16	True
I_rc	chrX-v0_2284670_aligned_507_R_83_19445_1	186	357	129	86.11	True
H_rc	chrX-v0_2284670_aligned_507_R_83_19445_1	358	526	151	93.64	True
G_rc	chrX-v0_2284670_aligned_507_R_83_19445_1	527	701	141	89.39	True
F_rc	chrX-v0_2284670_aligned_507_R_83_19445_1	702	870	126	84.62	True
E_rc	chrX-v0_2284670_aligned_507_R_83_19445_1	871	1030	133	88.89	True
D_rc	chrX-v0_2284670_aligned_507_R_83_19445_1	1031	1197	152	94.71	True
C_rc	chrX-v0_2284670_aligned_507_R_83_19445_1	1198	1368	165	97.69	True
B_rc	chrX-v0_2284670_aligned_507_R_83_19445_1	1369	1554	153	90.05	True
A_rc	chrX-v0_2284670_aligned_507_R_83_19445_1	1555	1726	161	96.53	True
L_rc	chrX-v0_2284670_aligned_507_R_83_19445_1	1727	1886	143	92.31	True
K_rc	chrX-v0_2284670_aligned_507_R_83_19445_1	1887	2052	148	93.02	True
J_rc	chrX-v0_2284670_aligned_507_R_83_19445_1	2053	2219	152	94.19	True
I_rc	chrX-v0_2284670_aligned_507_R_83_19445_1	2220	2389	149	93.06	True
H_rc	chrX-v0_2284670_aligned_507_R_83_19445_1	2390	2555	155	95.32	True
G_rc	chrX-v0_2284670_aligned_507_R_83_19445_1	2556	2723	156	95.88	True
F_rc	chrX-v0_2284670_aligned_507_R_83_19445_1	2724	2899	130	86.11	True
E_rc	chrX-v0_2284670_aligned_507_R_83_19445_1	2900	3059	133	89.35	True
D_rc	chrX-v0_2284670_aligned_507_R_83_19445_1	3060	3231	141	89.83	True
C_rc	chrX-v0_2284670_aligned_507_R_83_19445_1	3232	3394	150	93.60	True
B_rc	chrX-v0_2284670_aligned_507_R_83_19445_1	3395	3589	153	88.83	True
A_rc	chrX-v0_2284670_aligned_507_R_83_19445_1	3590	3761	158	95.40	True
L_rc	chrX-v0_2284670_aligned_507_R_83_19445_1	3762	3932	143	90.40	True
K_rc	chrX-v0_2284670_aligned_507_R_83_19445_1	3933	4103	162	97.09	True
J_rc	chrX-v0_2284670_aligned_507_R_83_19445_1	4104	4270	163	98.81	True
I_rc	chrX-v0_2284670_aligned_507_R_83_19445_1	4271	4432	119	83.24	True
H_rc	chrX-v0_2284670_aligned_507_R_83_19445_1	4433	4606	160	95.45	True
G_rc	chrX-v0_2284670_aligned_507_R_83_19445_1	4607	4776	161	97.08	True
F_rc	chrX-v0_2284670_aligned_507_R_83_19445_1	4777	4942	154	94.77	True
E_rc	chrX-v0_2284670_aligned_507_R_83_19445_1	4943	5104	132	88.82	True
D_rc	chrX-v0_2284670_aligned_507_R_83_19445_1	5105	5262	130	87.79	True
C_rc	chrX-v0_2284670_aligned_507_R_83_19445_1	5263	5426	126	85.80	True
B_rc	chrX-v0_2284670_aligned_507_R_83_19445_1	5427	5598	132	85.11	True
A_rc	chrX-v0_2284670_aligned_507_R_83_19445_1	5599	5761	129	86.86	True
L_rc	chrX-v0_2284670_aligned_507_R_83_19445_1	5762	5929	150	93.60	True
K_rc	chrX-v0_2284670_aligned_507_R_83_19445_1	5930	6099	143	90.86	True
J_rc	chrX-v0_2284670_aligned_507_R_83_19445_1	6100	6258	128	87.21	True
I_rc	chrX-v0_2284670_aligned_507_R_83_19445_1	6259	6427	143	91.33	True
H_rc	chrX-v0_2284670_aligned_507_R_83_19445_1	6428	6595	144	91.38	True
G_rc	chrX-v0_2284670_aligned_507_R_83_19445_1	6596	6762	146	91.95	True
F_rc	chrX-v0_2284670_aligned_507_R_83_19445_1	6763	6928	144	91.38	True
E_rc	chrX-v0_2284670_aligned_507_R_83_19445_1	6929	7095	147	93.49	True
D_rc	chrX-v0_2284670_aligned_507_R_83_19445_1	7096	7260	146	92.94	True
C_rc	chrX-v0_2284670_aligned_507_R_83_19445_1	7261	7442	145	89.19	True
B_rc	chrX-v0_2284670_aligned_507_R_83_19445_1	7443	7624	161	93.05	True
A_rc	chrX-v0_2284670_aligned_507_R_83_19445_1	7625	7794	146	92.44	True
L_rc	chrX-v0_2284670_aligned_507_R_83_19445_1	7795	7956	138	90.59	True
K_rc	chrX-v0_2284670_aligned_507_R_83_19445_1	7957	8129	105	78.07	True
J_rc	chrX-v0_2284670_aligned_507_R_83_19445_1	8130	8303	140	90.29	True
I_rc	chrX-v0_2284670_aligned_507_R_83_19445_1	8304	8478	140	89.33	True
H_rc	chrX-v0_2284670_aligned_507_R_83_19445_1	8479	8646	127	85.47	True
G_rc	chrX-v0_2284670_aligned_507_R_83_19445_1	8647	8813	136	88.64	True
F_rc	chrX-v0_2284670_aligned_507_R_83_19445_1	8814	8979	149	93.06	True
E_rc	chrX-v0_2284670_aligned_507_R_83_19445_1	8980	9147	155	95.32	True
D_rc	chrX-v0_2284670_aligned_507_R_83_19445_1	9148	9315	136	89.08	True
C_rc	chrX-v0_2284670_aligned_507_R_83_19445_1	9316	9488	148	92.05	True
B_rc	chrX-v0_2284670_aligned_507_R_83_19445_1	9489	9668	136	85.42	True
A_rc	chrX-v0_2284670_aligned_507_R_83_19445_1	9669	9838	139	89.27	True
L_rc	chrX-v0_2284670_aligned_507_R_83_19445_1	9839	9995	135	89.94	True
K_rc	chrX-v0_2284670_aligned_507_R_83_19445_1	9996	10163	158	95.93	True
J_rc	chrX-v0_2284670_aligned_507_R_83_19445_1	10164	10331	155	95.32	True
I_rc	chrX-v0_2284670_aligned_507_R_83_19445_1	10332	10495	138	90.12	True
H_rc	chrX-v0_2284670_aligned_507_R_83_19445_1	10496	10666	148	92.05	True
G_rc	chrX-v0_2284670_aligned_507_R_83_19445_1	10667	10835	146	91.48	True
F_rc	chrX-v0_2284670_aligned_507_R_83_19445_1	10836	11008	144	90.91	True
E_rc	chrX-v0_2284670_aligned_507_R_83_19445_1	11009	11168	120	84.48	True
D_rc	chrX-v0_2284670_aligned_507_R_83_19445_1	11169	11347	148	90.66	True
C_rc	chrX-v0_2284670_aligned_507_R_83_19445_1	11348	11516	143	90.86	True
B_rc	chrX-v0_2284670_aligned_507_R_83_19445_1	11517	11700	146	88.02	True
A_rc	chrX-v0_2284670_aligned_507_R_83_19445_1	11701	11865	140	90.23	True
L_rc	chrX-v0_2284670_aligned_507_R_83_19445_1	11866	12032	139	90.17	True
K_rc	chrX-v0_2284670_aligned_507_R_83_19445_1	12033	12193	145	92.40	True
J_rc	chrX-v0_2284670_aligned_507_R_83_19445_1	12194	12357	136	89.53	True
I_rc	chrX-v0_2284670_aligned_507_R_83_19445_1	12358	12532	120	82.61	True
H_rc	chrX-v0_2284670_aligned_507_R_83_19445_1	12533	12705	160	95.98	True
G_rc	chrX-v0_2284670_aligned_507_R_83_19445_1	12706	12876	135	88.14	True
F_rc	chrX-v0_2284670_aligned_507_R_83_19445_1	12877	13036	130	87.86	True
