Monomer	Read_Name	Start_Position	End_Position	Identity	Match_Percentage	Is_Reverse
K	chrX-v0_379461_aligned_277_F_2_26150_90	0	119	46	63.07	True
L	chrX-v0_379461_aligned_277_F_2_26150_90	120	289	138	89.20	True
A	chrX-v0_379461_aligned_277_F_2_26150_90	290	460	159	95.95	True
B	chrX-v0_379461_aligned_277_F_2_26150_90	461	642	140	86.08	True
C	chrX-v0_379461_aligned_277_F_2_26150_90	643	819	130	86.11	True
D	chrX-v0_379461_aligned_277_F_2_26150_90	820	990	151	93.64	True
E	chrX-v0_379461_aligned_277_F_2_26150_90	991	1161	145	91.91	True
F	chrX-v0_379461_aligned_277_F_2_26150_90	1162	1326	142	91.28	True
G	chrX-v0_379461_aligned_277_F_2_26150_90	1327	1497	152	93.68	True
H	chrX-v0_379461_aligned_277_F_2_26150_90	1498	1659	134	88.95	True
I	chrX-v0_379461_aligned_277_F_2_26150_90	1660	1820	125	85.71	True
J	chrX-v0_379461_aligned_277_F_2_26150_90	1821	1991	143	90.86	True
K	chrX-v0_379461_aligned_277_F_2_26150_90	1992	2159	153	94.22	True
L	chrX-v0_379461_aligned_277_F_2_26150_90	2160	2321	146	92.94	True
A	chrX-v0_379461_aligned_277_F_2_26150_90	2322	2489	138	89.66	True
B	chrX-v0_379461_aligned_277_F_2_26150_90	2490	2682	147	87.31	True
C	chrX-v0_379461_aligned_277_F_2_26150_90	2683	2850	134	88.07	True
D	chrX-v0_379461_aligned_277_F_2_26150_90	2851	3021	137	88.70	True
E	chrX-v0_379461_aligned_277_F_2_26150_90	3022	3200	145	90.50	True
F	chrX-v0_379461_aligned_277_F_2_26150_90	3201	3372	121	83.43	True
G	chrX-v0_379461_aligned_277_F_2_26150_90	3373	3546	157	94.86	True
H	chrX-v0_379461_aligned_277_F_2_26150_90	3547	3715	153	94.22	True
I	chrX-v0_379461_aligned_277_F_2_26150_90	3716	3886	139	90.17	True
J	chrX-v0_379461_aligned_277_F_2_26150_90	3887	4042	110	81.98	True
K	chrX-v0_379461_aligned_277_F_2_26150_90	4043	4218	110	79.26	True
L	chrX-v0_379461_aligned_277_F_2_26150_90	4219	4375	129	87.72	True
A	chrX-v0_379461_aligned_277_F_2_26150_90	4376	4540	124	84.83	True
B	chrX-v0_379461_aligned_277_F_2_26150_90	4541	4727	159	91.19	True
C	chrX-v0_379461_aligned_277_F_2_26150_90	4728	4894	144	91.38	True
D	chrX-v0_379461_aligned_277_F_2_26150_90	4895	5054	124	85.63	True
E	chrX-v0_379461_aligned_277_F_2_26150_90	5055	5224	128	85.96	True
F	chrX-v0_379461_aligned_277_F_2_26150_90	5225	5394	135	88.14	True
G	chrX-v0_379461_aligned_277_F_2_26150_90	5395	5565	152	93.68	True
H	chrX-v0_379461_aligned_277_F_2_26150_90	5566	5735	140	89.33	True
I	chrX-v0_379461_aligned_277_F_2_26150_90	5736	5898	150	94.12	True
J	chrX-v0_379461_aligned_277_F_2_26150_90	5899	6062	144	92.35	True
K	chrX-v0_379461_aligned_277_F_2_26150_90	6063	6226	151	94.15	True
L	chrX-v0_379461_aligned_277_F_2_26150_90	6227	6402	135	87.29	True
A	chrX-v0_379461_aligned_277_F_2_26150_90	6403	6568	145	91.91	True
B	chrX-v0_379461_aligned_277_F_2_26150_90	6569	6742	141	86.91	True
C	chrX-v0_379461_aligned_277_F_2_26150_90	6743	6913	143	91.33	True
D	chrX-v0_379461_aligned_277_F_2_26150_90	6914	7084	145	90.96	True
E	chrX-v0_379461_aligned_277_F_2_26150_90	7085	7249	147	93.49	True
F	chrX-v0_379461_aligned_277_F_2_26150_90	7250	7424	151	92.66	True
G	chrX-v0_379461_aligned_277_F_2_26150_90	7425	7597	138	88.76	True
H	chrX-v0_379461_aligned_277_F_2_26150_90	7598	7769	141	89.83	True
I	chrX-v0_379461_aligned_277_F_2_26150_90	7770	7943	152	93.68	True
J	chrX-v0_379461_aligned_277_F_2_26150_90	7944	8108	130	86.93	True
K	chrX-v0_379461_aligned_277_F_2_26150_90	8109	8279	154	94.25	True
L	chrX-v0_379461_aligned_277_F_2_26150_90	8280	8452	151	93.14	True
A	chrX-v0_379461_aligned_277_F_2_26150_90	8453	8611	141	91.23	True
B	chrX-v0_379461_aligned_277_F_2_26150_90	8612	8791	148	89.36	True
C	chrX-v0_379461_aligned_277_F_2_26150_90	8792	8960	154	94.77	True
D	chrX-v0_379461_aligned_277_F_2_26150_90	8961	9116	128	87.21	True
E	chrX-v0_379461_aligned_277_F_2_26150_90	9117	9280	137	90.06	True
F	chrX-v0_379461_aligned_277_F_2_26150_90	9281	9450	132	87.50	True
G	chrX-v0_379461_aligned_277_F_2_26150_90	9451	9621	152	94.19	True
H	chrX-v0_379461_aligned_277_F_2_26150_90	9622	9787	126	85.80	True
I	chrX-v0_379461_aligned_277_F_2_26150_90	9788	9959	128	85.56	True
J	chrX-v0_379461_aligned_277_F_2_26150_90	9960	10130	146	91.95	True
K	chrX-v0_379461_aligned_277_F_2_26150_90	10131	10298	134	88.51	True
L	chrX-v0_379461_aligned_277_F_2_26150_90	10299	10474	134	87.22	True
A	chrX-v0_379461_aligned_277_F_2_26150_90	10475	10639	124	85.23	True
B	chrX-v0_379461_aligned_277_F_2_26150_90	10640	10830	162	91.75	True
C	chrX-v0_379461_aligned_277_F_2_26150_90	10831	10998	132	87.93	True
D	chrX-v0_379461_aligned_277_F_2_26150_90	10999	11161	130	87.36	True
E	chrX-v0_379461_aligned_277_F_2_26150_90	11162	11325	143	91.81	True
F	chrX-v0_379461_aligned_277_F_2_26150_90	11326	11498	149	93.06	True
G	chrX-v0_379461_aligned_277_F_2_26150_90	11499	11672	158	94.89	True
H	chrX-v0_379461_aligned_277_F_2_26150_90	11673	11841	145	91.91	True
I	chrX-v0_379461_aligned_277_F_2_26150_90	11842	12004	127	86.71	True
J	chrX-v0_379461_aligned_277_F_2_26150_90	12005	12166	148	94.08	True
K	chrX-v0_379461_aligned_277_F_2_26150_90	12167	12326	124	85.23	True
L	chrX-v0_379461_aligned_277_F_2_26150_90	12327	12486	134	89.41	True
A	chrX-v0_379461_aligned_277_F_2_26150_90	12487	12652	119	83.62	True
B	chrX-v0_379461_aligned_277_F_2_26150_90	12653	12830	136	85.79	True
C	chrX-v0_379461_aligned_277_F_2_26150_90	12831	12997	132	87.08	True
D	chrX-v0_379461_aligned_277_F_2_26150_90	12998	13165	143	91.38	True
E	chrX-v0_379461_aligned_277_F_2_26150_90	13166	13336	134	88.07	True
F	chrX-v0_379461_aligned_277_F_2_26150_90	13337	13504	146	91.95	True
G	chrX-v0_379461_aligned_277_F_2_26150_90	13505	13678	130	85.71	True
H	chrX-v0_379461_aligned_277_F_2_26150_90	13679	13850	149	92.57	True
I	chrX-v0_379461_aligned_277_F_2_26150_90	13851	14021	140	89.33	True
J	chrX-v0_379461_aligned_277_F_2_26150_90	14022	14181	130	88.24	True
K	chrX-v0_379461_aligned_277_F_2_26150_90	14182	14349	132	87.50	True
L	chrX-v0_379461_aligned_277_F_2_26150_90	14350	14516	151	94.15	True
A	chrX-v0_379461_aligned_277_F_2_26150_90	14517	14680	134	88.95	True
B	chrX-v0_379461_aligned_277_F_2_26150_90	14681	14886	152	86.89	True
C	chrX-v0_379461_aligned_277_F_2_26150_90	14887	15054	143	91.33	True
D	chrX-v0_379461_aligned_277_F_2_26150_90	15055	15219	150	94.12	True
E	chrX-v0_379461_aligned_277_F_2_26150_90	15220	15383	149	94.08	True
F	chrX-v0_379461_aligned_277_F_2_26150_90	15384	15551	147	92.49	True
G	chrX-v0_379461_aligned_277_F_2_26150_90	15552	15721	138	89.20	True
H	chrX-v0_379461_aligned_277_F_2_26150_90	15722	15890	151	93.64	True
I	chrX-v0_379461_aligned_277_F_2_26150_90	15891	16059	156	95.35	True
J	chrX-v0_379461_aligned_277_F_2_26150_90	16060	16217	134	89.41	True
K	chrX-v0_379461_aligned_277_F_2_26150_90	16218	16386	140	89.33	True
L	chrX-v0_379461_aligned_277_F_2_26150_90	16387	16556	153	94.22	True
A	chrX-v0_379461_aligned_277_F_2_26150_90	16557	16726	147	92.00	True
B	chrX-v0_379461_aligned_277_F_2_26150_90	16727	16911	164	93.16	True
C	chrX-v0_379461_aligned_277_F_2_26150_90	16912	17089	126	84.24	True
D	chrX-v0_379461_aligned_277_F_2_26150_90	17090	17254	134	88.51	True
E	chrX-v0_379461_aligned_277_F_2_26150_90	17255	17424	154	95.29	True
F	chrX-v0_379461_aligned_277_F_2_26150_90	17425	17601	149	91.62	True
G	chrX-v0_379461_aligned_277_F_2_26150_90	17602	17771	151	93.14	True
H	chrX-v0_379461_aligned_277_F_2_26150_90	17772	17940	153	94.22	True
I	chrX-v0_379461_aligned_277_F_2_26150_90	17941	18104	139	90.17	True
J	chrX-v0_379461_aligned_277_F_2_26150_90	18105	18272	157	96.45	True
K	chrX-v0_379461_aligned_277_F_2_26150_90	18273	18446	150	92.13	True
L	chrX-v0_379461_aligned_277_F_2_26150_90	18447	18613	141	90.29	True
A	chrX-v0_379461_aligned_277_F_2_26150_90	18614	18780	137	89.14	True
B	chrX-v0_379461_aligned_277_F_2_26150_90	18781	18966	170	95.21	True
C	chrX-v0_379461_aligned_277_F_2_26150_90	18967	19130	141	90.75	True
D	chrX-v0_379461_aligned_277_F_2_26150_90	19131	19304	149	92.09	True
E	chrX-v0_379461_aligned_277_F_2_26150_90	19305	19469	146	92.94	True
F	chrX-v0_379461_aligned_277_F_2_26150_90	19470	19634	128	86.78	True
G	chrX-v0_379461_aligned_277_F_2_26150_90	19635	19806	139	89.27	True
H	chrX-v0_379461_aligned_277_F_2_26150_90	19807	19975	145	91.43	True
I	chrX-v0_379461_aligned_277_F_2_26150_90	19976	20145	138	89.20	True
J	chrX-v0_379461_aligned_277_F_2_26150_90	20146	20312	123	85.14	True
K	chrX-v0_379461_aligned_277_F_2_26150_90	20313	20489	147	90.61	True
L	chrX-v0_379461_aligned_277_F_2_26150_90	20490	20661	156	95.35	True
A	chrX-v0_379461_aligned_277_F_2_26150_90	20662	20837	140	88.89	True
B	chrX-v0_379461_aligned_277_F_2_26150_90	20838	21024	159	91.19	True
C	chrX-v0_379461_aligned_277_F_2_26150_90	21025	21192	134	88.51	True
D	chrX-v0_379461_aligned_277_F_2_26150_90	21193	21362	134	88.07	True
E	chrX-v0_379461_aligned_277_F_2_26150_90	21363	21530	140	90.70	True
F	chrX-v0_379461_aligned_277_F_2_26150_90	21531	21696	128	86.36	True
G	chrX-v0_379461_aligned_277_F_2_26150_90	21697	21870	154	93.75	True
H	chrX-v0_379461_aligned_277_F_2_26150_90	21871	22040	161	96.53	True
I	chrX-v0_379461_aligned_277_F_2_26150_90	22041	22215	139	88.40	True
J	chrX-v0_379461_aligned_277_F_2_26150_90	22216	22383	136	89.08	True
K	chrX-v0_379461_aligned_277_F_2_26150_90	22384	22557	138	88.76	True
L	chrX-v0_379461_aligned_277_F_2_26150_90	22558	22730	151	93.14	True
A	chrX-v0_379461_aligned_277_F_2_26150_90	22731	22900	131	86.59	True
B	chrX-v0_379461_aligned_277_F_2_26150_90	22901	23089	159	91.19	True
C	chrX-v0_379461_aligned_277_F_2_26150_90	23090	23263	159	95.43	True
D	chrX-v0_379461_aligned_277_F_2_26150_90	23264	23436	142	89.44	True
E	chrX-v0_379461_aligned_277_F_2_26150_90	23437	23602	152	95.24	True
F	chrX-v0_379461_aligned_277_F_2_26150_90	23603	23769	138	89.66	True
G	chrX-v0_379461_aligned_277_F_2_26150_90	23770	23937	153	94.22	True
H	chrX-v0_379461_aligned_277_F_2_26150_90	23938	24106	129	86.86	True
I	chrX-v0_379461_aligned_277_F_2_26150_90	24107	24274	132	87.93	True
J	chrX-v0_379461_aligned_277_F_2_26150_90	24275	24439	147	92.98	True
K	chrX-v0_379461_aligned_277_F_2_26150_90	24440	24612	133	86.74	True
L	chrX-v0_379461_aligned_277_F_2_26150_90	24613	24778	135	89.02	True
A	chrX-v0_379461_aligned_277_F_2_26150_90	24779	24950	156	95.35	True
B	chrX-v0_379461_aligned_277_F_2_26150_90	24951	25135	155	90.16	True
C	chrX-v0_379461_aligned_277_F_2_26150_90	25136	25309	155	94.29	True
D	chrX-v0_379461_aligned_277_F_2_26150_90	25310	25482	152	93.68	True
E	chrX-v0_379461_aligned_277_F_2_26150_90	25483	25638	133	89.35	True
F	chrX-v0_379461_aligned_277_F_2_26150_90	25639	25804	147	93.02	True
G	chrX-v0_379461_aligned_277_F_2_26150_90	25805	25953	123	85.96	True
C_rc	chrX-v0_379461_aligned_277_F_2_26150_90	25954	26037	-25	42.69	True
