Monomer	Read_Name	Start_Position	End_Position	Identity	Match_Percentage	Is_Reverse
H	chrX-v0_1895644_aligned_567_F_88_24696_1	0	228	90	69.40	True
I	chrX-v0_1895644_aligned_567_F_88_24696_1	229	397	148	92.53	True
J	chrX-v0_1895644_aligned_567_F_88_24696_1	398	560	144	92.35	True
K	chrX-v0_1895644_aligned_567_F_88_24696_1	561	724	137	89.66	True
L	chrX-v0_1895644_aligned_567_F_88_24696_1	725	897	133	87.15	True
A	chrX-v0_1895644_aligned_567_F_88_24696_1	898	1068	151	93.14	True
B	chrX-v0_1895644_aligned_567_F_88_24696_1	1069	1254	149	89.42	True
C	chrX-v0_1895644_aligned_567_F_88_24696_1	1255	1425	159	96.49	True
D	chrX-v0_1895644_aligned_567_F_88_24696_1	1426	1591	150	93.10	True
E	chrX-v0_1895644_aligned_567_F_88_24696_1	1592	1752	139	90.64	True
F	chrX-v0_1895644_aligned_567_F_88_24696_1	1753	1915	131	87.01	True
G	chrX-v0_1895644_aligned_567_F_88_24696_1	1916	2081	110	80.56	True
H	chrX-v0_1895644_aligned_567_F_88_24696_1	2082	2255	145	90.96	True
I	chrX-v0_1895644_aligned_567_F_88_24696_1	2256	2426	148	92.05	True
J	chrX-v0_1895644_aligned_567_F_88_24696_1	2427	2597	146	91.95	True
K	chrX-v0_1895644_aligned_567_F_88_24696_1	2598	2757	135	89.02	True
L	chrX-v0_1895644_aligned_567_F_88_24696_1	2758	2921	146	92.44	True
A	chrX-v0_1895644_aligned_567_F_88_24696_1	2922	3092	150	93.10	True
B	chrX-v0_1895644_aligned_567_F_88_24696_1	3093	3280	146	87.24	True
C	chrX-v0_1895644_aligned_567_F_88_24696_1	3281	3437	143	91.81	True
D	chrX-v0_1895644_aligned_567_F_88_24696_1	3438	3601	128	86.78	True
E	chrX-v0_1895644_aligned_567_F_88_24696_1	3602	3766	144	92.35	True
F	chrX-v0_1895644_aligned_567_F_88_24696_1	3767	3938	158	95.40	True
G	chrX-v0_1895644_aligned_567_F_88_24696_1	3939	4109	160	96.51	True
H	chrX-v0_1895644_aligned_567_F_88_24696_1	4110	4282	159	95.43	True
I	chrX-v0_1895644_aligned_567_F_88_24696_1	4283	4446	140	90.70	True
J	chrX-v0_1895644_aligned_567_F_88_24696_1	4447	4614	162	98.21	True
K	chrX-v0_1895644_aligned_567_F_88_24696_1	4615	4787	149	92.09	True
L	chrX-v0_1895644_aligned_567_F_88_24696_1	4788	4954	148	93.53	True
A	chrX-v0_1895644_aligned_567_F_88_24696_1	4955	5111	139	90.64	True
