Monomer	Read_Name	Start_Position	End_Position	Identity	Match_Percentage	Is_Reverse
D	chrX-v0_1487847_aligned_607_F_102_177212_2	0	217	82	68.30	True
E	chrX-v0_1487847_aligned_607_F_102_177212_2	218	379	152	95.24	True
F	chrX-v0_1487847_aligned_607_F_102_177212_2	380	547	153	94.22	True
G	chrX-v0_1487847_aligned_607_F_102_177212_2	548	724	129	85.25	True
H	chrX-v0_1487847_aligned_607_F_102_177212_2	725	898	142	90.34	True
I	chrX-v0_1487847_aligned_607_F_102_177212_2	899	1067	164	98.24	True
J	chrX-v0_1487847_aligned_607_F_102_177212_2	1068	1236	153	94.74	True
K	chrX-v0_1487847_aligned_607_F_102_177212_2	1237	1406	152	93.68	True
L	chrX-v0_1487847_aligned_607_F_102_177212_2	1407	1575	165	98.82	True
A	chrX-v0_1487847_aligned_607_F_102_177212_2	1576	1746	160	96.51	True
B	chrX-v0_1487847_aligned_607_F_102_177212_2	1747	1926	148	89.36	True
C	chrX-v0_1487847_aligned_607_F_102_177212_2	1927	2097	134	87.64	True
D	chrX-v0_1487847_aligned_607_F_102_177212_2	2098	2270	139	88.89	True
E	chrX-v0_1487847_aligned_607_F_102_177212_2	2271	2439	162	97.65	True
F	chrX-v0_1487847_aligned_607_F_102_177212_2	2440	2610	159	96.49	True
G	chrX-v0_1487847_aligned_607_F_102_177212_2	2611	2785	135	87.29	True
H	chrX-v0_1487847_aligned_607_F_102_177212_2	2786	2949	146	92.44	True
I	chrX-v0_1487847_aligned_607_F_102_177212_2	2950	3119	147	92.00	True
J	chrX-v0_1487847_aligned_607_F_102_177212_2	3120	3276	137	90.53	True
K	chrX-v0_1487847_aligned_607_F_102_177212_2	3277	3446	140	89.77	True
L	chrX-v0_1487847_aligned_607_F_102_177212_2	3447	3608	133	88.44	True
A	chrX-v0_1487847_aligned_607_F_102_177212_2	3609	3772	142	91.76	True
B	chrX-v0_1487847_aligned_607_F_102_177212_2	3773	3955	140	86.08	True
C	chrX-v0_1487847_aligned_607_F_102_177212_2	3956	4126	159	95.95	True
D	chrX-v0_1487847_aligned_607_F_102_177212_2	4127	4298	166	98.26	True
E	chrX-v0_1487847_aligned_607_F_102_177212_2	4299	4463	148	93.53	True
F	chrX-v0_1487847_aligned_607_F_102_177212_2	4464	4631	155	95.32	True
G	chrX-v0_1487847_aligned_607_F_102_177212_2	4632	4803	146	91.95	True
H	chrX-v0_1487847_aligned_607_F_102_177212_2	4804	4975	155	94.29	True
I	chrX-v0_1487847_aligned_607_F_102_177212_2	4976	5140	143	91.33	True
J	chrX-v0_1487847_aligned_607_F_102_177212_2	5141	5308	156	95.88	True
K	chrX-v0_1487847_aligned_607_F_102_177212_2	5309	5469	145	92.40	True
L	chrX-v0_1487847_aligned_607_F_102_177212_2	5470	5636	158	96.47	True
A	chrX-v0_1487847_aligned_607_F_102_177212_2	5637	5811	146	91.01	True
B	chrX-v0_1487847_aligned_607_F_102_177212_2	5812	5997	146	88.02	True
C	chrX-v0_1487847_aligned_607_F_102_177212_2	5998	6167	133	87.15	True
D	chrX-v0_1487847_aligned_607_F_102_177212_2	6168	6326	137	90.06	True
E	chrX-v0_1487847_aligned_607_F_102_177212_2	6327	6492	158	96.47	True
