Monomer	Read_Name	Start_Position	End_Position	Identity	Match_Percentage	Is_Reverse
J	chrX-v0_2003500_aligned_511_R_76_38154_0	0	99	-9	47.37	True
A_rc	chrX-v0_2003500_aligned_511_R_76_38154_0	100	268	157	95.91	True
L_rc	chrX-v0_2003500_aligned_511_R_76_38154_0	269	427	132	88.37	True
K_rc	chrX-v0_2003500_aligned_511_R_76_38154_0	428	600	134	87.64	True
J_rc	chrX-v0_2003500_aligned_511_R_76_38154_0	601	763	130	87.79	True
I_rc	chrX-v0_2003500_aligned_511_R_76_38154_0	764	929	119	84.00	True
H_rc	chrX-v0_2003500_aligned_511_R_76_38154_0	930	1098	130	86.93	True
G_rc	chrX-v0_2003500_aligned_511_R_76_38154_0	1099	1274	140	88.89	True
F_rc	chrX-v0_2003500_aligned_511_R_76_38154_0	1275	1446	155	94.29	True
E_rc	chrX-v0_2003500_aligned_511_R_76_38154_0	1447	1600	118	84.30	True
D_rc	chrX-v0_2003500_aligned_511_R_76_38154_0	1601	1780	143	89.07	True
C_rc	chrX-v0_2003500_aligned_511_R_76_38154_0	1781	1938	102	78.65	True
B_rc	chrX-v0_2003500_aligned_511_R_76_38154_0	1939	2126	158	91.15	True
A_rc	chrX-v0_2003500_aligned_511_R_76_38154_0	2127	2296	131	87.01	True
L_rc	chrX-v0_2003500_aligned_511_R_76_38154_0	2297	2459	144	91.86	True
K_rc	chrX-v0_2003500_aligned_511_R_76_38154_0	2460	2631	135	88.14	True
J_rc	chrX-v0_2003500_aligned_511_R_76_38154_0	2632	2797	152	94.71	True
I_rc	chrX-v0_2003500_aligned_511_R_76_38154_0	2798	2969	156	94.83	True
H_rc	chrX-v0_2003500_aligned_511_R_76_38154_0	2970	3135	156	95.35	True
G_rc	chrX-v0_2003500_aligned_511_R_76_38154_0	3136	3301	149	93.57	True
F_rc	chrX-v0_2003500_aligned_511_R_76_38154_0	3302	3471	157	95.38	True
E_rc	chrX-v0_2003500_aligned_511_R_76_38154_0	3472	3636	153	95.27	True
D_rc	chrX-v0_2003500_aligned_511_R_76_38154_0	3637	3809	152	93.18	True
C_rc	chrX-v0_2003500_aligned_511_R_76_38154_0	3810	3990	152	91.30	True
B_rc	chrX-v0_2003500_aligned_511_R_76_38154_0	3991	4181	167	93.72	True
A_rc	chrX-v0_2003500_aligned_511_R_76_38154_0	4182	4352	130	86.11	True
L_rc	chrX-v0_2003500_aligned_511_R_76_38154_0	4353	4519	133	88.44	True
K_rc	chrX-v0_2003500_aligned_511_R_76_38154_0	4520	4689	152	93.68	True
J_rc	chrX-v0_2003500_aligned_511_R_76_38154_0	4690	4850	145	92.90	True
I_rc	chrX-v0_2003500_aligned_511_R_76_38154_0	4851	5021	151	93.64	True
H_rc	chrX-v0_2003500_aligned_511_R_76_38154_0	5022	5182	146	92.44	True
G_rc	chrX-v0_2003500_aligned_511_R_76_38154_0	5183	5351	143	90.86	True
