Monomer	Read_Name	Start_Position	End_Position	Identity	Match_Percentage	Is_Reverse
F	chrX-v0_37819_aligned_522_F_89_59735_1	0	95	-12	46.51	True
H	chrX-v0_37819_aligned_522_F_89_59735_1	96	249	122	85.47	True
I	chrX-v0_37819_aligned_522_F_89_59735_1	250	413	136	89.53	True
J	chrX-v0_37819_aligned_522_F_89_59735_1	414	569	120	84.88	True
K	chrX-v0_37819_aligned_522_F_89_59735_1	570	743	159	95.43	True
L	chrX-v0_37819_aligned_522_F_89_59735_1	744	912	145	91.43	True
A	chrX-v0_37819_aligned_522_F_89_59735_1	913	1087	125	84.15	True
B	chrX-v0_37819_aligned_522_F_89_59735_1	1088	1264	159	92.51	True
C	chrX-v0_37819_aligned_522_F_89_59735_1	1265	1430	128	86.36	True
D	chrX-v0_37819_aligned_522_F_89_59735_1	1431	1602	148	92.53	True
E	chrX-v0_37819_aligned_522_F_89_59735_1	1603	1765	128	86.78	True
F	chrX-v0_37819_aligned_522_F_89_59735_1	1766	1944	156	93.33	True
G	chrX-v0_37819_aligned_522_F_89_59735_1	1945	2101	103	79.43	True
H	chrX-v0_37819_aligned_522_F_89_59735_1	2102	2267	131	87.01	True
I	chrX-v0_37819_aligned_522_F_89_59735_1	2268	2436	134	87.64	True
J	chrX-v0_37819_aligned_522_F_89_59735_1	2437	2597	139	91.12	True
K	chrX-v0_37819_aligned_522_F_89_59735_1	2598	2765	155	95.32	True
L	chrX-v0_37819_aligned_522_F_89_59735_1	2766	2935	151	93.64	True
A	chrX-v0_37819_aligned_522_F_89_59735_1	2936	3097	141	91.23	True
B	chrX-v0_37819_aligned_522_F_89_59735_1	3098	3283	147	88.08	True
C	chrX-v0_37819_aligned_522_F_89_59735_1	3284	3460	140	89.33	True
D	chrX-v0_37819_aligned_522_F_89_59735_1	3461	3617	133	88.89	True
E	chrX-v0_37819_aligned_522_F_89_59735_1	3618	3787	154	94.77	True
F	chrX-v0_37819_aligned_522_F_89_59735_1	3788	3959	139	88.83	True
G	chrX-v0_37819_aligned_522_F_89_59735_1	3960	4131	142	89.44	True
H	chrX-v0_37819_aligned_522_F_89_59735_1	4132	4302	159	96.49	True
I	chrX-v0_37819_aligned_522_F_89_59735_1	4303	4479	116	81.52	True
J	chrX-v0_37819_aligned_522_F_89_59735_1	4480	4641	111	81.71	True
K	chrX-v0_37819_aligned_522_F_89_59735_1	4642	4819	119	82.16	True
L	chrX-v0_37819_aligned_522_F_89_59735_1	4820	4976	133	89.35	True
A	chrX-v0_37819_aligned_522_F_89_59735_1	4977	5149	157	95.38	True
B	chrX-v0_37819_aligned_522_F_89_59735_1	5150	5336	177	97.33	True
C	chrX-v0_37819_aligned_522_F_89_59735_1	5337	5505	125	85.31	True
D	chrX-v0_37819_aligned_522_F_89_59735_1	5506	5677	132	87.08	True
