Monomer	Read_Name	Start_Position	End_Position	Identity	Match_Percentage	Is_Reverse
F	chrX-v0_760269_aligned_771_F_3_113028_136	0	98	22	56.47	True
G	chrX-v0_760269_aligned_771_F_3_113028_136	99	270	132	87.08	True
H	chrX-v0_760269_aligned_771_F_3_113028_136	271	441	145	91.43	True
I	chrX-v0_760269_aligned_771_F_3_113028_136	442	611	149	93.06	True
J	chrX-v0_760269_aligned_771_F_3_113028_136	612	779	141	90.75	True
K	chrX-v0_760269_aligned_771_F_3_113028_136	780	953	137	88.27	True
L	chrX-v0_760269_aligned_771_F_3_113028_136	954	1122	156	95.35	True
A	chrX-v0_760269_aligned_771_F_3_113028_136	1123	1293	126	85.00	True
B	chrX-v0_760269_aligned_771_F_3_113028_136	1294	1478	163	92.67	True
C	chrX-v0_760269_aligned_771_F_3_113028_136	1479	1648	164	97.67	True
D	chrX-v0_760269_aligned_771_F_3_113028_136	1649	1813	141	90.75	True
E	chrX-v0_760269_aligned_771_F_3_113028_136	1814	1976	137	90.06	True
F	chrX-v0_760269_aligned_771_F_3_113028_136	1977	2145	124	84.44	True
G	chrX-v0_760269_aligned_771_F_3_113028_136	2146	2314	148	92.53	True
H	chrX-v0_760269_aligned_771_F_3_113028_136	2315	2473	126	86.21	True
I	chrX-v0_760269_aligned_771_F_3_113028_136	2474	2640	138	89.66	True
J	chrX-v0_760269_aligned_771_F_3_113028_136	2641	2809	138	89.20	True
K	chrX-v0_760269_aligned_771_F_3_113028_136	2810	2973	135	88.57	True
L	chrX-v0_760269_aligned_771_F_3_113028_136	2974	3140	140	90.70	True
A	chrX-v0_760269_aligned_771_F_3_113028_136	3141	3307	137	89.14	True
B	chrX-v0_760269_aligned_771_F_3_113028_136	3308	3499	159	90.77	True
C	chrX-v0_760269_aligned_771_F_3_113028_136	3500	3671	113	80.87	True
D	chrX-v0_760269_aligned_771_F_3_113028_136	3672	3840	156	95.35	True
E	chrX-v0_760269_aligned_771_F_3_113028_136	3841	4003	134	89.41	True
F	chrX-v0_760269_aligned_771_F_3_113028_136	4004	4178	126	84.24	True
G	chrX-v0_760269_aligned_771_F_3_113028_136	4179	4348	140	89.33	True
H	chrX-v0_760269_aligned_771_F_3_113028_136	4349	4516	132	87.93	True
I	chrX-v0_760269_aligned_771_F_3_113028_136	4517	4679	130	87.79	True
J	chrX-v0_760269_aligned_771_F_3_113028_136	4680	4850	148	93.02	True
K	chrX-v0_760269_aligned_771_F_3_113028_136	4851	5016	147	92.98	True
L	chrX-v0_760269_aligned_771_F_3_113028_136	5017	5179	138	90.12	True
A	chrX-v0_760269_aligned_771_F_3_113028_136	5180	5346	128	86.36	True
B	chrX-v0_760269_aligned_771_F_3_113028_136	5347	5526	163	93.58	True
C	chrX-v0_760269_aligned_771_F_3_113028_136	5527	5696	155	94.80	True
D	chrX-v0_760269_aligned_771_F_3_113028_136	5697	5854	132	88.37	True
E	chrX-v0_760269_aligned_771_F_3_113028_136	5855	6014	125	86.55	True
F	chrX-v0_760269_aligned_771_F_3_113028_136	6015	6185	154	94.77	True
G	chrX-v0_760269_aligned_771_F_3_113028_136	6186	6361	146	91.01	True
H	chrX-v0_760269_aligned_771_F_3_113028_136	6362	6531	145	91.43	True
I	chrX-v0_760269_aligned_771_F_3_113028_136	6532	6694	143	91.33	True
J	chrX-v0_760269_aligned_771_F_3_113028_136	6695	6853	115	83.63	True
K	chrX-v0_760269_aligned_771_F_3_113028_136	6854	7026	117	82.32	True
L	chrX-v0_760269_aligned_771_F_3_113028_136	7027	7198	126	85.80	True
A	chrX-v0_760269_aligned_771_F_3_113028_136	7199	7368	155	94.80	True
B	chrX-v0_760269_aligned_771_F_3_113028_136	7369	7553	153	89.64	True
C	chrX-v0_760269_aligned_771_F_3_113028_136	7554	7717	144	91.38	True
D	chrX-v0_760269_aligned_771_F_3_113028_136	7718	7885	151	93.64	True
E	chrX-v0_760269_aligned_771_F_3_113028_136	7886	8047	123	85.55	True
F	chrX-v0_760269_aligned_771_F_3_113028_136	8048	8201	123	86.05	True
G	chrX-v0_760269_aligned_771_F_3_113028_136	8202	8365	142	90.80	True
H	chrX-v0_760269_aligned_771_F_3_113028_136	8366	8533	149	93.06	True
I	chrX-v0_760269_aligned_771_F_3_113028_136	8534	8694	124	85.63	True
J	chrX-v0_760269_aligned_771_F_3_113028_136	8695	8859	128	86.36	True
K	chrX-v0_760269_aligned_771_F_3_113028_136	8860	9029	140	90.23	True
L	chrX-v0_760269_aligned_771_F_3_113028_136	9030	9198	135	88.57	True
A	chrX-v0_760269_aligned_771_F_3_113028_136	9199	9371	146	91.48	True
B	chrX-v0_760269_aligned_771_F_3_113028_136	9372	9559	166	93.68	True
C	chrX-v0_760269_aligned_771_F_3_113028_136	9560	9739	155	92.82	True
D	chrX-v0_760269_aligned_771_F_3_113028_136	9740	9907	157	95.91	True
E	chrX-v0_760269_aligned_771_F_3_113028_136	9908	10075	140	91.18	True
F	chrX-v0_760269_aligned_771_F_3_113028_136	10076	10239	114	82.02	True
G	chrX-v0_760269_aligned_771_F_3_113028_136	10240	10405	127	85.88	True
H	chrX-v0_760269_aligned_771_F_3_113028_136	10406	10577	144	90.91	True
I	chrX-v0_760269_aligned_771_F_3_113028_136	10578	10745	135	88.14	True
J	chrX-v0_760269_aligned_771_F_3_113028_136	10746	10907	139	90.17	True
K	chrX-v0_760269_aligned_771_F_3_113028_136	10908	11078	144	90.91	True
L	chrX-v0_760269_aligned_771_F_3_113028_136	11079	11242	132	87.93	True
A	chrX-v0_760269_aligned_771_F_3_113028_136	11243	11411	149	92.57	True
B	chrX-v0_760269_aligned_771_F_3_113028_136	11412	11596	137	84.42	True
C	chrX-v0_760269_aligned_771_F_3_113028_136	11597	11768	142	90.80	True
D	chrX-v0_760269_aligned_771_F_3_113028_136	11769	11936	146	91.95	True
E	chrX-v0_760269_aligned_771_F_3_113028_136	11937	12102	152	95.24	True
F	chrX-v0_760269_aligned_771_F_3_113028_136	12103	12276	150	92.61	True
G	chrX-v0_760269_aligned_771_F_3_113028_136	12277	12446	130	86.11	True
H	chrX-v0_760269_aligned_771_F_3_113028_136	12447	12616	148	92.05	True
I	chrX-v0_760269_aligned_771_F_3_113028_136	12617	12782	152	94.19	True
J	chrX-v0_760269_aligned_771_F_3_113028_136	12783	12953	139	89.27	True
K	chrX-v0_760269_aligned_771_F_3_113028_136	12954	13137	124	82.98	True
L	chrX-v0_760269_aligned_771_F_3_113028_136	13138	13304	139	90.17	True
A	chrX-v0_760269_aligned_771_F_3_113028_136	13305	13467	124	85.63	True
