Monomer	Read_Name	Start_Position	End_Position	Identity	Match_Percentage	Is_Reverse
A	chrX-v0_875364_aligned_689_F_62_58198_408	0	221	84	68.42	True
B	chrX-v0_875364_aligned_689_F_62_58198_408	222	400	157	91.53	True
C	chrX-v0_875364_aligned_689_F_62_58198_408	401	572	153	93.71	True
D	chrX-v0_875364_aligned_689_F_62_58198_408	573	740	160	97.06	True
E	chrX-v0_875364_aligned_689_F_62_58198_408	741	903	143	92.31	True
F	chrX-v0_875364_aligned_689_F_62_58198_408	904	1073	142	89.89	True
G	chrX-v0_875364_aligned_689_F_62_58198_408	1074	1250	154	93.26	True
H	chrX-v0_875364_aligned_689_F_62_58198_408	1251	1422	125	85.31	True
I	chrX-v0_875364_aligned_689_F_62_58198_408	1423	1591	138	89.66	True
J	chrX-v0_875364_aligned_689_F_62_58198_408	1592	1758	143	91.33	True
K	chrX-v0_875364_aligned_689_F_62_58198_408	1759	1925	141	90.75	True
L	chrX-v0_875364_aligned_689_F_62_58198_408	1926	2095	124	84.07	True
A	chrX-v0_875364_aligned_689_F_62_58198_408	2096	2261	137	89.14	True
B	chrX-v0_875364_aligned_689_F_62_58198_408	2262	2448	168	94.68	True
C	chrX-v0_875364_aligned_689_F_62_58198_408	2449	2615	138	89.20	True
D	chrX-v0_875364_aligned_689_F_62_58198_408	2616	2782	138	89.66	True
E	chrX-v0_875364_aligned_689_F_62_58198_408	2783	2939	110	81.61	True
F	chrX-v0_875364_aligned_689_F_62_58198_408	2940	3122	126	83.51	True
G	chrX-v0_875364_aligned_689_F_62_58198_408	3123	3282	136	89.53	True
H	chrX-v0_875364_aligned_689_F_62_58198_408	3283	3446	138	89.66	True
I	chrX-v0_875364_aligned_689_F_62_58198_408	3447	3614	135	88.57	True
J	chrX-v0_875364_aligned_689_F_62_58198_408	3615	3792	136	87.78	True
K	chrX-v0_875364_aligned_689_F_62_58198_408	3793	3956	122	85.06	True
L	chrX-v0_875364_aligned_689_F_62_58198_408	3957	4132	147	91.06	True
A	chrX-v0_875364_aligned_689_F_62_58198_408	4133	4307	141	89.83	True
B	chrX-v0_875364_aligned_689_F_62_58198_408	4308	4486	150	90.32	True
C	chrX-v0_875364_aligned_689_F_62_58198_408	4487	4645	131	87.86	True
D	chrX-v0_875364_aligned_689_F_62_58198_408	4646	4813	144	91.38	True
